eval_topic_rts_id,collection,tweet_id,judgment
LV005,lv2,934100612626747392,1
LV005,lv2,934064277933187072,1
LV005,lv2,928664533316591616,1
LV005,lv2,922426354112581632,1
LV005,lv2,921514456580050944,1
LV005,lv2,911912657434939392,1
LV005,lv2,849724391332216832,1
LV005,lv2,890203632968364032,1
LV005,lv2,905712834545422336,1
LV005,lv2,833678183425835010,1
LV005,lv2,943578649093079040,1
LV005,lv2,913067763366842369,1
LV005,lv2,940333193525374976,1
LV005,lv2,946423618912882700,1
LV005,lv2,869194581107191812,1
LV005,lv2,860448656813633536,1
LV005,lv2,860448640845979650,1
LV005,lv2,916165641291403267,1
LV005,lv2,897861941879767040,1
LV005,lv2,865545985790853121,1
LV005,lv2,913367491065401344,1
LV005,lv2,922538901042024450,1
LV005,lv2,932312610472693765,1
LV005,lv2,932299118080331777,1
LV005,lv2,932298557813600257,1
LV005,lv2,935546917450285056,1
LV005,lv2,931623380876517377,1
LV005,lv2,922794329038520321,1
LV005,lv2,919600110203428864,1
LV005,lv2,918870193069178880,1
LV005,lv2,906126457205919744,1
LV005,lv2,893104581844099073,1
LV005,lv2,875195143753695232,1
LV005,lv2,785909533419929600,1
LV005,lv2,969893546407989248,1
LV005,lv2,786588350043918336,1
LV005,lv2,785895705831436290,1
LV005,lv2,863344784122970114,1
LV005,lv2,935820378831773696,1
LV005,lv2,934112640959500289,1
LV005,lv2,923966944243535872,1
LV005,lv2,854951996721438720,1
LV005,lv2,980809642765844481,1
LV005,lv2,980808021524742146,1
LV005,lv2,980773878090928128,1
LV005,lv2,980769269310001152,1
LV005,lv2,980810447132790784,1
LV005,lv2,980768537982717953,1
LV005,lv2,980790939848445952,1
LV005,lv2,980784052495159296,1
LV005,lv2,980726389044375552,1
LV005,lv2,980783759959224320,1
LV005,lv2,980777809474916359,1
LV005,lv2,980737974034944000,1
LV005,lv2,980733520862642177,1
LV005,lv2,980733309725626368,1
LV005,lv2,980732157101527040,1
LV005,lv2,980723848504102912,1
LV005,lv2,980494947169243137,1
LV005,lv2,980758946007912448,1
LV005,lv2,980700490437742592,1
LV005,lv2,980736886309294081,1
LV005,lv2,980731993250988032,1
LV005,lv2,980668159203184640,1
LV005,lv2,980534400474599425,1
LV005,lv2,980530530344202242,1
LV005,lv2,980530257567584259,1
LV005,lv2,980530142945693696,1
LV005,lv2,980520150490378240,1
LV005,lv2,980500252653506560,1
LV005,lv2,980477547749236738,1
LV005,lv2,980361294409879553,1
LV005,lv2,980351263425662977,1
LV005,lv2,980211675457638401,1
LV005,lv2,980174516801458176,1
LV005,lv2,980354299757776896,1
LV005,lv2,980160680790773760,1
LV005,lv2,980123454669295616,1
LV005,lv2,980153232948387846,1
LV005,lv2,980124469481148416,1
LV005,lv2,980190639152418816,1
LV005,lv2,980176615111045121,1
LV005,lv2,980147101341569024,1
LV005,lv2,980147008337006592,1
LV005,lv2,980106709464158208,1
LV005,lv2,980126663865454593,1
LV005,lv2,980143418826543105,1
LV005,lv2,980060126441811970,1
LV005,lv2,979249558671777794,1
LV005,lv2,980057103594344456,1
LV005,lv2,979274409620983808,1
LV005,lv2,980056969955471361,1
LV005,lv2,979971045892476928,1
LV005,lv2,979809487056986113,1
LV005,lv2,979962675542274048,1
LV005,lv2,979701326782353409,1
LV005,lv2,979805601806143488,1
LV005,lv2,979799485143494656,1
LV005,lv2,979710013362114563,1
LV005,lv2,979689152710107137,1
LV005,lv2,979689215574278145,1
LV005,lv2,979741886729605120,1
LV005,lv2,979687106158178304,1
LV005,lv2,979593098832396288,1
LV005,lv2,979456553169358848,1
LV005,lv2,979456408415621127,1
LV005,lv2,979456369337274369,1
LV005,lv2,979350397113511937,1
LV005,lv2,979456334033817600,1
LV005,lv2,979384850644946947,1
LV005,lv2,979456292401053696,1
LV005,lv2,979307960873742336,1
LV005,lv2,979446994967154694,1
LV005,lv2,979458206434029569,1
LV005,lv2,979318199522086917,1
LV005,lv2,979405104360120320,1
LV005,lv2,979405074362400770,1
LV005,lv2,979402360060555264,1
LV005,lv2,979401842076635136,1
LV005,lv2,979388437697622016,1
LV005,lv2,979388200312549376,1
LV005,lv2,979370709037322246,1
LV005,lv2,979364474191835137,1
LV005,lv2,979355395016790016,1
LV005,lv2,979353783506554882,1
LV005,lv2,979282900616204288,1
LV005,lv2,979321768749031425,1
LV005,lv2,979310901617623041,1
LV005,lv2,979308403431563264,1
LV005,lv2,979334340697092097,1
LV005,lv2,979295959124467712,1
LV005,lv2,979293132167794688,1
LV005,lv2,979284324745994240,1
LV005,lv2,979304666830864386,1
LV005,lv2,979035823046889473,1
LV005,lv2,978984274882899970,1
LV005,lv2,979046759367397376,1
LV005,lv2,978997341549219841,1
LV005,lv2,979046732720955397,1
LV005,lv2,979002917125541888,1
LV005,lv2,979002847340695552,1
LV005,lv2,978999476533768192,1
LV005,lv2,978991247720263681,1
LV005,lv2,979022124097703936,1
LV005,lv2,979018572256153608,1
LV005,lv2,979016146862116864,1
LV005,lv2,979002294963527681,1
LV005,lv2,979000737312190465,1
LV005,lv2,978954888565665797,1
LV005,lv2,978951372749058048,1
LV005,lv2,978985933273026561,1
LV005,lv2,978943761785946114,1
LV005,lv2,978871820362420224,1
LV005,lv2,978957816143675392,1
LV005,lv2,978929990766071810,1
LV005,lv2,978944625120612353,1
LV005,lv2,978904581336944641,1
LV005,lv2,978924437398523907,1
LV005,lv2,978924010015780864,1
LV005,lv2,978889719793713154,1
LV005,lv2,978888020479836160,1
LV005,lv2,978906609509457920,1
LV005,lv2,978904694952259585,1
LV005,lv2,978877246101434368,1
LV005,lv2,978710761357955079,1
LV005,lv2,978709140573913093,1
LV005,lv2,978547326418595840,1
LV005,lv2,978601256590675973,1
LV005,lv2,978596642491334657,1
LV005,lv2,978580457372700672,1
LV005,lv2,978605340043378688,1
LV005,lv2,978605145713004544,1
LV005,lv2,978553446872821761,1
LV005,lv2,978551739266805760,1
LV005,lv2,978549631507451904,1
LV005,lv2,978547565846237184,1
LV005,lv2,978535227353124865,1
LV005,lv2,978531326507864064,1
LV005,lv2,978330585004429313,1
LV005,lv2,978237247341453318,1
LV005,lv2,978320206434054145,1
LV005,lv2,978257649337815041,1
LV005,lv2,978285039736717312,1
LV005,lv2,978248759237857280,1
LV005,lv2,978244011197595648,1
LV005,lv2,978240429706678273,1
LV005,lv2,978263377075109889,1
LV005,lv2,978227365695361025,1
LV005,lv2,978271162215133185,1
LV005,lv2,978254200437202944,1
LV005,lv2,978143018288123904,1
LV005,lv2,977984668812406784,1
LV005,lv2,977960651590160386,1
LV005,lv2,977972981799497729,1
LV005,lv2,954337670448189440,1
LV005,lv2,977874766429392896,1
LV005,lv2,977862009608863744,1
LV005,lv2,977892242496131073,1
LV005,lv2,977647299030634496,1
LV005,lv2,977144537599696898,1
LV005,lv2,977551870364471297,1
LV005,lv2,977477928404619264,1
LV005,lv2,977289288739180544,1
LV005,lv2,977164489761095680,1
LV005,lv2,977289234519228417,1
LV005,lv2,977273756723924992,1
LV005,lv2,977444687362646016,1
LV005,lv2,977207067340689408,1
LV005,lv2,977444182854918144,1
LV005,lv2,977435098785165312,1
LV005,lv2,977433285474377728,1
LV005,lv2,977182148670230529,1
LV005,lv2,977432043767455744,1
LV005,lv2,977246929238331395,1
LV005,lv2,977243669949566976,1
LV005,lv2,977174018670374912,1
LV005,lv2,977189649369239552,1
LV005,lv2,977167817228374016,1
LV005,lv2,977160631475417090,1
LV005,lv2,977140825909088262,1
LV005,lv2,977133837770809344,1
LV005,lv2,977153578963005440,1
LV005,lv2,977150728061022213,1
LV005,lv2,977085266585440256,1
LV005,lv2,977084852553109505,1
LV005,lv2,976743295534682112,1
LV005,lv2,977083936512860160,1
LV005,lv2,976927604040183808,1
LV005,lv2,976926851280068611,1
LV005,lv2,976903276376584193,1
LV005,lv2,976900199070228482,1
LV005,lv2,976870377799540737,1
LV005,lv2,976859206753181696,1
LV005,lv2,976857374370816001,1
LV005,lv2,976857077707628545,1
LV005,lv2,976831461985800194,1
LV005,lv2,976829188807233536,1
LV005,lv2,976822236505165824,1
LV005,lv2,976781852924104704,1
LV005,lv2,976777605214072832,1
LV005,lv2,976756484506873856,1
LV005,lv2,976747056789417984,1
LV005,lv2,976751141869547520,1
LV005,lv2,976749082608795648,1
LV005,lv2,976747992895107072,1
LV005,lv2,976541188202352640,1
LV005,lv2,976404481582751744,1
LV005,lv2,976462642205413376,1
LV005,lv2,976449393871253504,1
LV005,lv2,976423646347448321,1
LV005,lv2,976412009452498946,1
LV005,lv2,976392366184714240,1
LV005,lv2,976409515657781248,1
LV005,lv2,976408891495010304,1
LV005,lv2,976379051584696320,1
LV005,lv2,976212226687356929,1
LV005,lv2,976129803094028290,1
LV005,lv2,976181930105417728,1
LV005,lv2,976092911753449472,1
LV005,lv2,976087010426474496,1
LV005,lv2,976078822197121024,1
LV005,lv2,976084360804880385,1
LV005,lv2,976080584240975872,1
LV005,lv2,976043720981254144,1
LV005,lv2,976083013275701253,1
LV005,lv2,976013029451157505,1
LV005,lv2,975832752548392960,1
LV005,lv2,975622447860011009,1
LV005,lv2,975832001046597633,1
LV005,lv2,975718594255441920,1
LV005,lv2,975829004224815104,1
LV005,lv2,975671333781757952,1
LV005,lv2,975733163061325824,1
LV005,lv2,975751532028276736,1
LV005,lv2,975709642817982465,1
LV005,lv2,975751503259500546,1
LV005,lv2,975712484131835905,1
LV005,lv2,975682298808098818,1
LV005,lv2,975671499070869504,1
LV005,lv2,975687600508989442,1
LV005,lv2,975630528425668609,1
LV005,lv2,975614896279883776,1
LV005,lv2,975616782663905280,1
LV005,lv2,975468733274689536,1
LV005,lv2,975354820373696512,1
LV005,lv2,975460039468179456,1
LV005,lv2,975416232580141058,1
LV005,lv2,975446300702445568,1
LV005,lv2,975392835754233857,1
LV005,lv2,975392112752627712,1
LV005,lv2,975423857833148423,1
LV005,lv2,975403226588680195,1
LV005,lv2,975372829620408320,1
LV005,lv2,975283275924156416,1
LV005,lv2,975341120862457856,1
LV005,lv2,975091612215906306,1
LV005,lv2,975335579788435456,1
LV005,lv2,975333547874684933,1
LV005,lv2,975378161457422337,1
LV005,lv2,975323600415797248,1
LV005,lv2,975323447277604864,1
LV005,lv2,975321829165420545,1
LV005,lv2,975070581803704320,1
LV005,lv2,975321774689792001,1
LV005,lv2,975314762279145473,1
LV005,lv2,975087181760028674,1
LV005,lv2,975355569111556096,1
LV005,lv2,975351021970092033,1
LV005,lv2,975057708234739712,1
LV005,lv2,975350980102492160,1
LV005,lv2,975060367297662976,1
LV005,lv2,975350860149592064,1
LV005,lv2,975064678555627521,1
LV005,lv2,975350831900917760,1
LV005,lv2,975068863191834625,1
LV005,lv2,975350704452898816,1
LV005,lv2,975350645736792064,1
LV005,lv2,975059104245911554,1
LV005,lv2,975350553051058176,1
LV005,lv2,975320756400852992,1
LV005,lv2,975299229655724037,1
LV005,lv2,975287211372482561,1
LV005,lv2,975287071245037568,1
LV005,lv2,975270978027708421,1
LV005,lv2,975147657659342848,1
LV005,lv2,975123586032766976,1
LV005,lv2,975102858252226560,1
LV005,lv2,975092433410195462,1
LV005,lv2,975092285179297792,1
LV005,lv2,975003066691915776,1
LV005,lv2,975089961002242050,1
LV005,lv2,975089859470725120,1
LV005,lv2,975089210091884544,1
LV005,lv2,975084021351964672,1
LV005,lv2,975081989119324160,1
LV005,lv2,975074250410340352,1
LV005,lv2,975064140845846528,1
LV005,lv2,975058567656067073,1
LV005,lv2,975098029219958785,1
LV005,lv2,975097913104912384,1
LV005,lv2,975093351241474050,1
LV005,lv2,975046612539117569,1
LV005,lv2,975028335842615296,1
LV005,lv2,975027076951691264,1
LV005,lv2,975020879473184770,1
LV005,lv2,975000466965848064,1
LV005,lv2,975023777439518720,1
LV005,lv2,974955717852585984,1
LV005,lv2,974951894564130816,1
LV005,lv2,974954409892474881,1
LV005,lv2,974935774687875072,1
LV005,lv2,974947472727531520,1
LV005,lv2,974946973899001856,1
LV005,lv2,974936667281940480,1
LV005,lv2,974929766460674049,1
LV005,lv2,974725830130765825,1
LV005,lv2,974900649078001664,1
LV005,lv2,974695425881014272,1
LV005,lv2,974808040338804737,1
LV005,lv2,974593423440310272,1
LV005,lv2,974756290957398017,1
LV005,lv2,974750308172795904,1
LV005,lv2,974709537965043713,1
LV005,lv2,974706089890648066,1
LV005,lv2,974699975824347136,1
LV005,lv2,974639770818240513,1
LV005,lv2,974699853157675008,1
LV005,lv2,974687532737814528,1
LV005,lv2,974755900929036291,1
LV005,lv2,974737444099805193,1
LV005,lv2,974748937943945216,1
LV005,lv2,974747929943552000,1
LV005,lv2,974737545144791041,1
LV005,lv2,974734090736951296,1
LV005,lv2,974733174365413376,1
LV005,lv2,974727000219881472,1
LV005,lv2,974725456061698048,1
LV005,lv2,974699075403698177,1
LV005,lv2,974648983565094912,1
LV005,lv2,974697052658642944,1
LV005,lv2,974690944145674240,1
LV005,lv2,974687889371156480,1
LV005,lv2,974687602451337217,1
LV005,lv2,974686970101358592,1
LV005,lv2,974673774065971205,1
LV005,lv2,974282028664475650,1
LV005,lv2,974656907813310464,1
LV005,lv2,974654340127444992,1
LV005,lv2,974680572906868737,1
LV005,lv2,974641080166731776,1
LV005,lv2,974639860517691392,1
LV005,lv2,974663215450918912,1
LV005,lv2,974640425020612608,1
LV005,lv2,974637642548760576,1
LV005,lv2,974624366674751488,1
LV005,lv2,974630092717649920,1
LV005,lv2,974554196086157312,1
LV005,lv2,974630036786630656,1
LV005,lv2,974377134662840321,1
LV005,lv2,974650838604902400,1
LV005,lv2,974619168355094528,1
LV005,lv2,974616996569600001,1
LV005,lv2,974612472714989573,1
LV005,lv2,974599077999661056,1
LV005,lv2,974598836936171521,1
LV005,lv2,974622446224642048,1
LV005,lv2,974595621947666432,1
LV005,lv2,974579973402058752,1
LV005,lv2,974577209611554816,1
LV005,lv2,974573590170537984,1
LV005,lv2,974377643071148034,1
LV005,lv2,974556152519249920,1
LV005,lv2,974556132801826817,1
